latitude;longitude;altitude;speed;course;date;time;satellites
-24,722223;-53,756553;0.0;0.4;0.0;190721;10103101;0
-24,722274;-53,756584;1822.2;0.6;0.0;190721;10104100;6
-24,722297;-53,756614;1808.4;0.3;0.0;190721;10105100;6
-24,722303;-53,756629;1814.0;0.0;0.0;190721;10110100;6
-24,722309;-53,756637;1811.0;0.0;0.0;190721;10111100;7
-24,722307;-53,756633;1807.1;0.1;0.0;190721;10112100;7
-24,722286;-53,756618;1807.7;0.2;0.0;190721;10113200;7
-24,722284;-53,756614;1807.7;0.0;0.0;190721;10114200;8
-24,722293;-53,756610;1808.7;0.1;0.0;190721;10115200;8
-24,722309;-53,756610;1807.7;0.1;0.0;190721;10120200;8
-24,722316;-53,756622;1808.7;0.4;0.0;190721;10121200;8
-24,722330;-53,756626;1820.5;0.2;145.5;190721;10122200;8
-24,722333;-53,756626;1827.4;0.3;145.5;190721;10123200;8
-24,722335;-53,756614;1828.1;0.4;145.5;190721;10124300;8
-24,722284;-53,756652;1827.1;0.0;34.9;190721;10125300;8
-24,722301;-53,756671;1838.6;0.2;34.9;190721;10130300;8
-24,722337;-53,756671;1846.8;0.3;34.9;190721;10131300;7
-24,722362;-53,756675;1850.7;0.4;34.9;190721;10132300;8
-24,722351;-53,756683;1848.1;0.0;34.9;190721;10133300;8
-24,722301;-53,756679;1835.6;0.3;34.9;190721;10134400;8
-24,722318;-53,756679;1839.9;0.3;34.9;190721;10135400;8
-24,722318;-53,756675;1839.6;0.2;34.9;190721;10140400;8
-24,722320;-53,756690;1845.1;0.1;34.9;190721;10141400;8
-24,722328;-53,756694;1848.1;0.1;34.9;190721;10142400;8
-24,722332;-53,756690;1846.8;0.5;34.9;190721;10143400;8
-24,722324;-53,756690;1845.1;0.1;34.9;190721;10144500;8
-24,722330;-53,756687;1845.8;0.2;34.9;190721;10145500;8
-24,722341;-53,756683;1848.1;0.2;34.9;190721;10150500;8
-24,722343;-53,756683;1850.1;0.1;34.9;190721;10151500;7
-24,722352;-53,756683;1855.0;0.2;34.9;190721;10152500;8
-24,722370;-53,756683;1864.5;0.1;34.9;190721;10153500;8
-24,722377;-53,756683;1869.1;0.2;34.9;190721;10154600;8
-24,722368;-53,756679;1866.8;0.1;34.9;190721;10155600;8
-24,722354;-53,756675;1861.9;0.1;34.9;190721;10160600;8
-24,722339;-53,756668;1856.6;0.0;34.9;190721;10161600;8
-24,722330;-53,756656;1850.4;0.1;34.9;190721;10162600;8
-24,722347;-53,756652;1853.3;0.1;34.9;190721;10163600;7
-24,722351;-53,756652;1855.0;0.4;34.9;190721;10164700;8
-24,722351;-53,756656;1855.3;0.1;34.9;190721;10165700;8
-24,722347;-53,756656;1851.0;0.5;34.9;190721;10170600;8
-24,722314;-53,756660;1843.8;0.4;34.9;190721;10171600;8
-24,722293;-53,756656;1836.3;0.6;34.9;190721;10172600;8
-24,722299;-53,756660;1839.2;0.3;34.9;190721;10173600;8
-24,722311;-53,756656;1841.9;0.0;34.9;190721;10174700;8
-24,722322;-53,756645;1841.9;0.2;34.9;190721;10175700;8
-24,722335;-53,756637;1842.2;0.1;34.9;190721;10180700;8
-24,722349;-53,756633;1845.1;0.0;34.9;190721;10181700;8
-24,722379;-53,756637;1848.4;0.0;34.9;190721;10182700;7
-24,722393;-53,756641;1849.7;0.2;34.9;190721;10183700;6
-24,722393;-53,756641;1852.0;0.2;34.9;190721;10184800;8
-24,722389;-53,756645;1853.7;0.3;34.9;190721;10185800;8
-24,722379;-53,756637;1847.8;0.2;34.9;190721;10190800;8
-24,722377;-53,756633;1843.2;0.1;34.9;190721;10191800;8
-24,722396;-53,756626;1842.2;0.0;34.9;190721;10192800;8
-24,722404;-53,756614;1835.6;0.2;34.9;190721;10193800;7
-24,722406;-53,756614;1835.0;0.2;34.9;190721;10194900;8
-24,722394;-53,756610;1829.4;0.2;34.9;190721;10195900;8
-24,722381;-53,756610;1823.2;0.1;34.9;190721;10200900;7
-24,722373;-53,756614;1818.9;0.1;34.9;190721;10201900;8
-24,722375;-53,756622;1824.8;0.1;34.9;190721;10202900;8
-24,722381;-53,756637;1836.3;0.3;12.6;190721;10204000;8
-24,722387;-53,756649;1846.1;0.3;12.6;190721;10205000;8
-24,722372;-53,756637;1834.3;0.1;12.6;190721;10210000;8
-24,722354;-53,756629;1824.8;1.2;103.8;190721;10211000;8
-24,722360;-53,756626;1823.8;0.1;103.8;190721;10212000;8
-24,722347;-53,756595;1828.1;2.6;70.1;190721;10213000;8
-24,722333;-53,756515;1832.0;2.6;47.6;190721;10214100;8
-24,722227;-53,756439;1829.1;3.0;25.9;190721;10215100;8
-24,722101;-53,756378;1829.4;1.8;31.5;190721;10220100;8
-24,722003;-53,756431;1825.8;2.8;278.8;190721;10221100;8
-24,722026;-53,756542;1827.1;2.8;261.0;190721;10222100;8
-24,722024;-53,756694;1818.9;3.8;263.4;190721;10223100;8
-24,722013;-53,757263;1817.9;21.0;269.3;190721;10224200;7
-24,722011;-53,758396;1842.2;27.2;270.6;190721;10225200;8
-24,722007;-53,759456;1877.3;16.8;267.2;190721;10230200;8
-24,722003;-53,760078;1879.6;14.0;275.0;190721;10231200;8
-24,721977;-53,760761;1894.7;2.0;275.8;190721;10232200;8
-24,721414;-53,760948;1900.9;23.6;347.8;190721;10233300;8
-24,720382;-53,761211;1898.6;24.0;345.6;190721;10234300;8
-24,719930;-53,761253;1879.9;11.5;19.4;190721;10235300;8
-24,719808;-53,761516;1889.8;11.4;203.5;190721;10240300;7
-24,720434;-53,761325;1899.6;18.9;167.4;190721;10241300;8
-24,720764;-53,761631;1893.0;16.1;271.7;190721;10242400;8
-24,720754;-53,762588;1894.0;23.1;272.7;190721;10243400;7
-24,720743;-53,763664;1893.0;24.3;271.7;190721;10244400;8
-24,720722;-53,764690;1888.8;20.7;268.2;190721;10245400;7
-24,720701;-53,765151;1880.6;0.6;287.5;190721;10250400;8
-24,720687;-53,765228;1907.2;0.1;287.5;190721;10251400;7
-24,720682;-53,765239;1913.4;0.1;287.5;190721;10252500;8
-24,720685;-53,765239;1912.1;0.2;287.5;190721;10253500;8
-24,720699;-53,765235;1910.8;0.1;287.5;190721;10254500;9
-24,720701;-53,765239;1907.5;0.3;287.5;190721;10255500;9
-24,720722;-53,765243;1906.5;0.0;287.5;190721;10260500;9
-24,720733;-53,765239;1902.2;0.2;287.5;190721;10261500;9
-24,720733;-53,765232;1894.0;0.2;287.5;190721;10262600;9
-24,720722;-53,765251;1892.7;1.4;274.2;190721;10263600;9
-24,720726;-53,765392;1893.0;4.4;264.1;190721;10264600;9
-24,720714;-53,766078;1876.0;26.3;272.2;190721;10265600;9
-24,720722;-53,767120;1861.9;24.0;261.3;190721;10270600;8
-24,720684;-53,768249;1852.4;17.0;272.6;190721;10271700;9
-24,720663;-53,768363;1848.4;0.1;288.8;190721;10272700;9
-24,720661;-53,768383;1855.6;0.1;288.8;190721;10273700;9
-24,720659;-53,768386;1856.0;0.0;288.8;190721;10274700;9
-24,720649;-53,768394;1848.4;0.0;288.8;190721;10275700;9
-24,720640;-53,768512;1836.9;6.6;270.1;190721;10280700;10
-24,720630;-53,769050;1809.1;15.7;271.8;190721;10281800;10
-24,720626;-53,769531;1798.2;0.6;274.2;190721;10282800;10
-24,720119;-53,769714;1784.8;26.7;344.7;190721;10283800;9
-24,718875;-53,770084;1777.2;27.3;342.7;190721;10284800;9
-24,717777;-53,770355;1776.9;23.3;346.0;190721;10285800;10
-24,717569;-53,770191;1790.4;0.3;93.0;190721;10290900;10
-24,717573;-53,770149;1787.4;2.5;89.6;190721;10291900;10
-24,717592;-53,769947;1789.0;9.5;96.6;190721;10292900;10
-24,717590;-53,769844;1798.2;0.2;89.6;190721;10293900;10
-24,717594;-53,769660;1802.5;10.9;91.7;190721;10294900;10
-24,717599;-53,769493;1798.6;0.3;94.3;190721;10295900;9
-24,717594;-53,769454;1797.9;1.5;92.0;190721;10301000;10
-24,717592;-53,769275;1798.2;3.9;92.2;190721;10302000;10
-24,717597;-53,769176;1805.4;2.2;85.6;190721;10303000;10
-24,717596;-53,768699;1824.8;17.8;91.3;190721;10304000;10
-24,717592;-53,768505;1817.6;1.8;82.6;190721;10305000;10
-24,717613;-53,768280;1817.6;12.5;101.1;190721;10310000;10
-24,717760;-53,768211;1822.8;7.8;178.5;190721;10311100;10
-24,718116;-53,768196;1843.5;9.3;180.3;190721;10312100;10
-24,718461;-53,768211;1844.8;7.7;179.3;190721;10313100;10
-24,718618;-53,768207;1852.4;0.3;177.5;190721;10314100;10
-24,718626;-53,768215;1865.5;0.3;177.5;190721;10315100;9
-24,718467;-53,768222;1861.9;1.4;354.7;190721;10320200;11
-24,718406;-53,768226;1845.1;2.1;343.5;190721;10321200;11
-24,718364;-53,768226;1844.5;0.2;0.9;190721;10322200;11
-24,718322;-53,768222;1845.5;2.4;358.3;190721;10323200;11
-24,718242;-53,768218;1843.2;4.0;356.5;190721;10324200;11
-24,718095;-53,768226;1839.2;2.6;358.4;190721;10325200;11
-24,717992;-53,768211;1835.3;1.2;3.7;190721;10330300;11
-24,717668;-53,768203;1832.0;9.8;14.8;190721;10331300;11
-24,717622;-53,767993;1828.7;0.6;88.2;190721;10332300;11
-24,717603;-53,767761;1836.6;10.7;85.2;190721;10333300;11
-24,717592;-53,767627;1834.0;0.3;86.4;190721;10334300;11
-24,717592;-53,767604;1837.6;0.8;93.0;190721;10335300;12
-24,717582;-53,767261;1841.5;0.5;66.8;190721;10340400;12
