latitude;longitude;altitude;speed;course;date;time;satellites
-24,722152;-53,756542;1840.6;0.0;354.1;240721;300;10
-24,722160;-53,756546;1836.9;0.0;354.1;240721;1300;10
-24,722167;-53,756546;1831.0;0.0;354.1;240721;2400;10
-24,722177;-53,756549;1826.4;0.1;354.1;240721;3400;10
-24,722190;-53,756553;1824.8;0.1;354.1;240721;4400;10
-24,722198;-53,756557;1826.4;0.1;354.1;240721;5400;10
-24,722202;-53,756549;1828.1;0.0;354.1;240721;10400;10
-24,722196;-53,756542;1829.7;0.0;354.1;240721;11400;10
-24,722187;-53,756542;1833.0;0.1;354.1;240721;12500;10
-24,722183;-53,756534;1834.0;0.0;354.1;240721;13500;10
-24,722181;-53,756530;1835.6;0.0;354.1;240721;14500;10
-24,722179;-53,756530;1839.2;0.0;354.1;240721;15500;10
-24,722185;-53,756526;1835.3;0.1;354.1;240721;20500;10
-24,722194;-53,756523;1829.7;0.0;354.1;240721;21600;8
-24,722198;-53,756515;1822.5;0.0;354.1;240721;22600;9
-24,722200;-53,756515;1821.5;0.0;354.1;240721;23600;9
-24,722198;-53,756519;1822.5;0.0;354.1;240721;24600;10
-24,722202;-53,756523;1828.7;0.0;354.1;240721;25600;9
-24,722211;-53,756526;1834.0;0.0;354.1;240721;30600;9
-24,722217;-53,756526;1836.3;0.0;354.1;240721;31700;9
-24,722213;-53,756530;1838.9;0.0;354.1;240721;32700;9
-24,722211;-53,756534;1839.9;0.0;354.1;240721;33700;9
-24,722209;-53,756530;1838.3;0.0;354.1;240721;34700;9
-24,722211;-53,756534;1836.3;0.0;354.1;240721;35700;8
-24,722211;-53,756534;1833.3;0.0;354.1;240721;40700;9
-24,722206;-53,756538;1832.7;0.0;354.1;240721;41800;8
-24,722194;-53,756538;1834.3;0.0;354.1;240721;42800;9
-24,722187;-53,756542;1834.6;0.1;354.1;240721;43800;9
-24,722181;-53,756538;1829.1;0.0;354.1;240721;44800;9
-24,722177;-53,756542;1823.2;0.0;354.1;240721;45800;9
-24,722175;-53,756542;1819.2;0.0;354.1;240721;50800;9
-24,722177;-53,756546;1811.7;0.0;354.1;240721;51900;9
-24,722177;-53,756546;1803.1;0.0;354.1;240721;52900;9
-24,722181;-53,756549;1796.3;0.0;354.1;240721;53900;9
-24,722188;-53,756553;1792.3;0.0;354.1;240721;54900;9
-24,722183;-53,756553;1795.9;0.0;354.1;240721;55900;9
-24,722175;-53,756553;1798.9;0.0;354.1;240721;60900;9
-24,722177;-53,756553;1801.8;0.0;354.1;240721;62000;7
-24,722179;-53,756553;1806.4;0.0;354.1;240721;63000;8
-24,722183;-53,756557;1808.4;0.0;354.1;240721;64000;8
-24,722185;-53,756561;1807.4;0.0;354.1;240721;65000;8
-24,722187;-53,756565;1804.5;0.0;354.1;240721;70000;8
-24,722183;-53,756565;1806.1;0.0;354.1;240721;71000;8
-24,722181;-53,756565;1811.0;0.0;354.1;240721;72100;8
-24,722179;-53,756565;1812.0;0.1;354.1;240721;73100;9
-24,722175;-53,756561;1810.7;0.0;354.1;240721;74100;8
-24,722173;-53,756557;1808.4;0.0;354.1;240721;75100;9
-24,722181;-53,756549;1808.4;0.0;354.1;240721;80100;9
-24,722183;-53,756542;1805.4;0.1;354.1;240721;81100;9
-24,722179;-53,756534;1802.8;0.0;354.1;240721;82200;9
-24,722166;-53,756530;1803.5;0.0;354.1;240721;83200;8
-24,722162;-53,756526;1802.2;0.0;354.1;240721;84200;8
-24,722167;-53,756526;1801.5;0.0;354.1;240721;85200;8
