latitude;longitude;altitude;speed;course;date;time;satellites
-24,722253;-53,756507;0.0;0.0;0.0;190721;10510200;3
-24,722259;-53,756526;1841.2;0.2;0.0;190721;10511200;4
-24,722259;-53,756534;1841.5;0.2;0.0;190721;10512200;4
-24,722248;-53,756538;1836.0;0.0;0.0;190721;10513300;5
-24,722234;-53,756542;1824.8;0.3;0.0;190721;10514300;5
-24,722221;-53,756553;1810.0;0.0;0.0;190721;10515300;5
-24,722217;-53,756561;1803.8;0.0;0.0;190721;10520400;7
-24,722202;-53,756568;1793.0;0.2;0.0;190721;10521400;7
-24,722213;-53,756565;1797.9;0.1;0.0;190721;10522400;7
-24,722221;-53,756561;1798.2;0.4;0.0;190721;10523400;8
-24,722211;-53,756561;1795.3;0.3;0.0;190721;10524500;8
-24,722200;-53,756553;1802.5;0.0;0.0;190721;10525500;8
-24,722187;-53,756557;1807.7;0.1;0.0;190721;10530500;8
-24,722177;-53,756561;1809.7;0.2;0.0;190721;10531500;8
-24,722177;-53,756561;1812.0;0.2;0.0;190721;10532500;7
-24,722175;-53,756561;1819.2;0.1;0.0;190721;10533500;7
-24,722171;-53,756553;1812.3;0.1;0.0;190721;10534600;7
-24,722166;-53,756557;1811.4;0.1;0.0;190721;10535600;8
-24,722156;-53,756561;1814.0;0.0;0.0;190721;10540600;8
-24,722158;-53,756546;1818.2;0.8;76.5;190721;10541600;8
-24,722156;-53,756500;1834.3;1.3;30.8;190721;10542600;7
-24,722143;-53,756408;1830.4;0.1;101.6;190721;10543600;8
-24,722146;-53,756458;1844.2;3.2;266.5;190721;10544700;8
-24,722167;-53,756565;1844.5;1.6;262.0;190721;10545700;8
-24,722169;-53,756599;1844.8;0.3;262.0;190721;10550700;8
-24,722156;-53,756599;1864.2;1.2;262.0;190721;10551700;8
-24,722187;-53,756500;1848.4;2.5;88.9;190721;10552700;8
-24,722141;-53,756370;1842.2;3.8;40.6;190721;10553700;8
-24,722015;-53,756317;1825.8;2.1;31.6;190721;10554800;8
-24,721992;-53,756072;1824.5;9.9;89.0;190721;10555800;8
-24,722017;-53,755573;1826.1;9.4;97.0;190721;10560700;8
-24,722219;-53,755443;1828.4;10.9;188.1;190721;10561700;8
-24,722818;-53,755424;1830.1;17.1;181.1;190721;10562700;8
-24,723505;-53,755424;1850.7;18.9;178.6;190721;10563700;8
-24,724426;-53,755413;1877.3;23.2;179.8;190721;10564800;7
-24,725233;-53,755424;1907.2;5.0;179.9;190721;10565800;8
-24,725578;-53,755428;1895.3;11.2;179.8;190721;10570800;8
-24,726312;-53,755451;1892.1;15.7;179.8;190721;10571800;7
-24,726432;-53,755474;1885.2;0.7;180.0;190721;10572800;8
-24,726726;-53,755481;1883.9;12.3;179.1;190721;10573800;8
-24,727508;-53,755500;1885.8;19.5;180.5;190721;10574900;8
-24,728307;-53,755512;1897.3;19.7;180.7;190721;10575900;8
-24,729333;-53,755519;1907.8;25.5;180.6;190721;10580900;8
-24,729745;-53,755523;1909.1;3.5;181.0;190721;10581900;8
-24,730113;-53,755527;1909.8;14.2;180.5;190721;10582900;8
-24,730960;-53,755527;1904.5;24.0;179.6;190721;10583900;8
-24,731870;-53,755546;1894.7;8.9;179.5;190721;10585000;8
-24,731994;-53,755451;1901.9;8.9;115.1;190721;10590000;7
-24,732004;-53,754730;1891.4;22.7;90.2;190721;10591000;8
-24,732027;-53,753536;1877.0;26.9;91.5;190721;10592000;8
-24,732015;-53,752361;1872.0;20.3;88.5;190721;10593000;8
-24,732109;-53,752002;1867.5;8.1;161.1;190721;10594000;8
-24,732917;-53,751995;1860.6;27.4;179.7;190721;10595100;8
-24,734077;-53,752006;1839.9;16.1;181.6;190721;11000100;8
-24,734153;-53,752006;1848.8;0.0;181.1;190721;11001100;8
-24,734161;-53,752010;1844.2;0.0;181.1;190721;11002100;8
-24,734224;-53,752010;1844.5;7.6;182.8;190721;11003100;10
-24,734430;-53,751983;1836.0;5.7;121.5;190721;11004200;10
-24,734361;-53,751567;1849.4;14.2;81.3;190721;11005200;10
-24,734287;-53,750747;1842.5;12.8;87.4;190721;11010200;10
-24,734584;-53,750671;1823.8;10.1;183.5;190721;11011200;10
-24,735158;-53,750667;1804.8;16.1;172.8;190721;11012200;10
-24,735668;-53,750400;1782.8;8.6;191.9;190721;11013200;9
-24,736051;-53,750598;1774.9;9.5;206.6;190721;11014300;10
-24,736326;-53,750766;1770.7;13.2;208.3;190721;11015300;10
-24,736896;-53,751018;1781.2;15.6;179.3;190721;11020300;10
-24,737525;-53,751037;1802.5;10.9;188.2;190721;11021300;10
-24,737791;-53,751049;1808.7;0.1;180.2;190721;11022300;10
-24,737838;-53,751060;1793.6;0.0;180.2;190721;11023300;9
-24,737854;-53,751064;1799.5;0.2;180.2;190721;11024400;10
-24,737854;-53,751064;1803.8;0.0;134.6;190721;11025400;10
-24,737865;-53,751071;1804.5;0.1;134.6;190721;11030400;10
-24,737876;-53,751071;1798.9;0.1;134.6;190721;11031400;10
-24,737886;-53,751071;1796.6;0.1;134.6;190721;11032400;10
-24,737892;-53,751071;1795.3;0.1;134.6;190721;11033400;10
-24,737897;-53,751071;1794.3;0.0;134.6;190721;11034400;10
-24,737909;-53,751071;1791.7;0.1;134.6;190721;11035500;10
-24,737909;-53,751068;1789.4;0.1;134.6;190721;11040500;10
-24,737901;-53,751064;1784.4;0.1;134.6;190721;11041500;10
-24,737895;-53,751064;1782.5;0.0;134.6;190721;11042500;9
-24,737916;-53,751052;1786.4;3.2;171.2;190721;11043500;10
-24,738174;-53,751037;1781.5;8.1;187.1;190721;11044500;10
-24,738378;-53,751052;1774.3;7.2;175.1;190721;11045600;10
-24,738805;-53,751064;1770.7;13.5;178.9;190721;11050600;10
-24,739356;-53,751064;1775.6;13.5;185.1;190721;11051600;10
-24,739654;-53,751068;1775.3;0.0;178.9;190721;11052600;10
-24,739664;-53,751071;1774.9;0.0;178.9;190721;11053600;10
-24,739665;-53,751075;1772.3;0.1;178.9;190721;11054700;10
-24,739885;-53,751068;1779.2;10.4;181.0;190721;11055700;10
-24,740444;-53,751071;1774.9;14.3;180.1;190721;11060700;10
-24,740991;-53,751075;1779.9;8.3;180.1;190721;11061700;10
-24,741117;-53,751094;1776.6;1.8;179.3;190721;11062700;10
-24,741125;-53,751106;1769.7;0.2;179.3;190721;11063700;10
-24,741127;-53,751110;1763.1;0.0;179.3;190721;11064800;10
-24,741123;-53,751125;1761.2;0.1;179.3;190721;11065800;10
-24,741127;-53,751132;1762.1;0.0;179.3;190721;11070800;10
-24,741140;-53,751136;1762.5;0.0;179.3;190721;11071800;10
-24,741153;-53,751132;1765.7;0.0;179.3;190721;11072800;10
-24,741163;-53,751132;1767.7;0.4;179.3;190721;11073800;10
-24,741189;-53,751132;1769.4;3.7;173.3;190721;11074800;10
